Fund,Interest (+/-),Change % (since new year),Change % (month),Change % (week)
HHM,0,"52,45","13,30","0,98"
HHN,0,"41,08","10,96","1,36"
VEB,0,"36,98","7,47","1,68"
VER,0,"43,16","8,82","4,42"
VEY,0,"41,22","10,36","1,40"
VGA,0,"34,71","5,91","0,83"
VGB,0,"35,49","7,53","2,03"
VGD,0,"29,17","5,10","0,10"
VYB,0,"57,85","15,28","1,07"
ZHD,0,"34,91","5,09","1,30"
ZHF,0,"36,88","8,04","2,15"
HHB,1,"60,14","14,06","3,07"
HHE,1,"59,96","22,39","4,01"
HHG,1,"31,02","4,84","1,19"
HHY,1,"39,54","11,01","0,99"
TBJ,1,"28,03","6,22","-0,36"
TJY,1,"10,19","3,25","0,25"
TML,1,"13,81","2,27","0,29"
TYJ,1,"10,32","2,54","0,19"
VEE,1,"47,78","17,93","3,54"
VEG,1,"27,60","6,65","1,49"
VEH,1,"68,07","23,84","3,51"
VEI,1,"48,06","12,60","5,90"
VEK,1,"38,36","11,46","4,14"
VEL,1,"11,19","1,71","0,38"
VES,1,"28,92","8,74","3,57"
VET,1,"21,28","6,14","1,10"
VEU,1,"11,33","1,76","0,42"
VGE,1,"56,41","16,05","5,61"
VGP,1,"23,02","20,32","13,81"
VGT,1,"29,44","6,78","1,43"
VGY,1,"40,19","12,25","2,37"
ZHB,1,"59,54","21,57","3,21"
ZHE,1,"39,63","13,34","2,94"
ZHG,1,"31,88","8,92","4,63"
